player_id,madden_id,fullname,team,position,overallrating,headshot,high_pos_group
"m26-ja-marr-chase","1370","Ja'Marr Chase","CIN","WR","99","https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1370.png?im=FaceCrop,padding=0.7","off"
"m26-josh-allen","8800","Josh Allen","BUF","QB","99","https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8800.png?im=FaceCrop,padding=0.7","off"
"m26-george-kittle","8622","George Kittle","SF","TE","98","https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8622.png?im=FaceCrop,padding=0.7","off"
"m26-jahmyr-gibbs","2564","Jahmyr Gibbs","DET","RB","98","https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/2564.png?im=FaceCrop,padding=0.7","off"
"m26-matthew-stafford","6302","Matthew Stafford","LAR","QB","98","https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/6302.png?im=FaceCrop,padding=0.7","off"
"m26-puka-nacua","4785","Puka Nacua","LAR","WR","97","https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/4785.png?im=FaceCrop,padding=0.7","off"
"m26-trey-mcbride","1830","Trey McBride","ARI","TE","97","https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1830.png?im=FaceCrop,padding=0.7","off"
"m26-amon-ra-st-brown","1313","Amon-Ra St. Brown","DET","WR","96","https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1313.png?im=FaceCrop,padding=0.7","off"
"m26-christian-mccaffrey","8655","Christian McCaffrey","SF","RB","96","https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8655.png?im=FaceCrop,padding=0.7","off"
"m26-joe-burrow","198","Joe Burrow","CIN","QB","96","https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/198.png?im=FaceCrop,padding=0.7","off"
"m26-jonathan-taylor","604","Jonathan Taylor","IND","RB","96","https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/604.png?im=FaceCrop,padding=0.7","off"
"m26-bijan-robinson","2613","Bijan Robinson","ATL","RB","95","https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/2613.png?im=FaceCrop,padding=0.7","off"
"m26-jaxon-smith-njigba","2401","Jaxon Smith-Njigba","SEA","WR","95","https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/2401.png?im=FaceCrop,padding=0.7","off"
"m26-derrick-henry","8045","Derrick Henry","BAL","RB","94","https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8045.png?im=FaceCrop,padding=0.7","off"
"m26-justin-jefferson","385","Justin Jefferson","MIN","WR","94","https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/385.png?im=FaceCrop,padding=0.7","off"
"m26-lamar-jackson","8940","Lamar Jackson","BAL","QB","94","https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8940.png?im=FaceCrop,padding=0.7","off"
"m26-brock-bowers","10018","Brock Bowers","LV","TE","93","https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/10018.png?im=FaceCrop,padding=0.7","off"
